Title,Authors,DOI,DOI link,Venue,Citation count,Year,Study Design,"Reasoning for ""Study Design""",Animal Population and Model Induction,"Reasoning for ""Animal Population and Model Induction""","Experimental Interventions ","Reasoning for ""Experimental Interventions """,Outcomes (Primary and Secondary),"Reasoning for ""Outcomes (Primary and Secondary)""",Control Interventions,"Reasoning for ""Control Interventions""",Primary Research Type,"Reasoning for ""Primary Research Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
T227. THE METABOTROPIC GLUTAMATE RECEPTOR SUBTYPE 1 REGULATES STRIATAL DOPAMINE RELEASE VIA AN ENDOCANNABINOID-DEPENDENT MECHANISM: IMPLICATIONS FOR THE TREATMENT OF SCHIZOPHRENIA,"S. Yohn, Dan P Covey, Daniel J. Foster, M. Moehle, Jordan Galbraith, J. Cheer, C. Lindsley, P. Jeffrey Conn",10.1093/schbul/sby016.503,https://doi.org/10.1093/schbul/sby016.503,Schizophrenia bulletin,1,2018,maybe,"The study includes in vivo controlled experiments in rodent models, as explicitly mentioned in the abstract through references to ""rodent models"" and behavioral studies.",no,"It is unclear from the abstract whether the study uses established ""animal models of psychosis"" as defined in the criteria, such as those induced through psychostimulants or NMDA antagonists. The abstract mentions ""rodent models that are dependent on increased DA transmission"" but does not explicitly state if these are considered psychosis models.",no,"The study focuses on M4 and mGlu1 receptor modulators, not TAAR1 agonists as required by the criteria.",no,"The study examines some relevant outcomes including dopamine release and behavioral measures, but does not specifically mention the co-primary outcomes required (locomotor activity and PPI). While some secondary outcomes might be covered, the primary outcomes are not clearly addressed.",maybe,"The abstract mentions comparisons with haloperidol (a current antipsychotic) and appears to use appropriate control conditions, but this is not the main focus of the experimental design. However, since the intervention is not TAAR1-related, this becomes moot.",yes,This is clearly an original experimental study using animal models.,Exclude,"The study investigates M4 and mGlu1 receptor modulators in rodent models, focusing on dopamine release and potential antipsychotic mechanisms, but fails to meet critical screening criteria related to TAAR1 agonists and specific psychosis model induction. While the research involves experimental animal studies, it does not align with the predefined systematic review requirements, particularly regarding experimental interventions and primary outcomes.",1.4
Collective and Coordinated Conformational Changes Determine Agonism or Antagonism at the Human Trace Amine-Associated Receptor 1,"Agustín I. Robles, Luis Dinamarca-Villarroel, Gonzalo E. Torres, Angélica Fierro",10.1021/acsomega.3c06315,https://doi.org/10.1021/acsomega.3c06315,ACS Omega,0,2023,no,"The paper is a computational study using ""homology modeling, docking, and molecular dynamic simulations"", which is explicitly an in silico study. This does not involve in vivo controlled experiments as required by the first criterion.",no,"The study does not involve any animal models. It focuses on computational modeling of the human TAAR1 receptor (hTAAR1), rather than using animal models of psychosis.",no,"While the study examines TAAR1 agonists and antagonists, it does so through computational methods rather than actual drug administration to animal models.",no,"The study does not measure any of the required behavioral outcomes (locomotor activity, PPI, etc.) or secondary outcomes. Instead, it focuses on molecular conformational changes in the receptor.",no,"There are no control groups or interventions as this is a computational study, rather than an animal study with the required control conditions.",no,"While this is original research, it is not an experimental study using animal models. It is a computational/theoretical study, which is explicitly excluded by the sixth criterion.",Exclude,"This computational study examining molecular dynamics of the human TAAR1 receptor does not meet any of the systematic review's screening criteria. The research is an in silico investigation without animal models, experimental interventions, control groups, or behavioral outcomes required by the protocol. Consequently, the study falls outside the specified inclusion parameters for the systematic review.",0.1
Investigation of the Roles of the Adenosine A(2A) and Metabotropic Glutamate Receptor Type 5 (mGlu5) Receptors in Prepulse Inhibition and CREB Signaling in a Heritable Rodent Model of Psychosis,"Anthony M. Cuozzo, Loren D. Peeters, Cristal D. Ahmed, L. J. Wills, Justin T. Gass, Russell W. Brown",10.3390/cells14030182,https://doi.org/10.3390/cells14030182,Cells,0,2025,yes,"The study includes in vivo controlled experiments using rats, which meets the requirement for in vivo controlled experiments.",yes,"The study uses a neonatal quinpirole (NQ) model of psychosis, which is a valid method of inducing psychosis-like features in laboratory animals.",no,"The study does not investigate TAAR1 agonists, but instead examines mGlu5 PAM (CDPPB) and A(2A) agonist (CGS21680), which are different receptor systems and do not meet the criterion of TAAR1 agonist interventions.",yes,"The study includes one of the co-primary outcomes (PPI) and likely includes other behavioral measures, though not explicitly stated in the abstract. The study also examines neurobiological measures (CREB levels).",yes,"The study includes appropriate control groups, with vehicle controls (saline-treated) and comparison between treatment groups.",yes,This is an original experimental study using animal models.,Exclude,"The study employs a neonatal quinpirole rat model of psychosis with controlled experimental design, examining prepulse inhibition and neurobiological outcomes. However, the research investigates mGlu5 and A(2A) receptor interventions rather than TAAR1 agonists, which critically disqualifies it from meeting the specific intervention requirements. Despite strong methodological alignment with most screening criteria, the fundamental deviation in intervention type necessitates exclusion.",1.4
"Are D-Neurons and Trace Amine-Associated Receptor, Type 1 Involved in Mesolimbic Dopamine Hyperactivity of Schizophrenia?",K. Ikemoto,10.4172/2161-0444.1000111,https://doi.org/10.4172/2161-0444.1000111,-,6,2012,no,"The abstract does not describe any in vivo controlled experiments. This appears to be a theoretical paper discussing a hypothesis about D-neurons and TAAR1 in schizophrenia, including observations from postmortem studies.",no,"While the abstract mentions DA neurons and neural mechanisms, it does not describe any animal models of psychosis. The studies mentioned are based on postmortem human brains, not animal models.",no,The abstract discusses TAAR1 as a potential target for neuroleptics but does not describe any experimental interventions using TAAR1 agonists. It only discusses the theoretical role of TAAR1 in schizophrenia.,no,"The abstract does not mention any of the primary outcomes (locomotor activity or PPI) or secondary outcomes listed in the criteria. While it discusses DA neurotransmission, these are theoretical mechanisms rather than experimental outcomes.",no,No control interventions are described in the abstract. The paper appears to be focused on theoretical mechanisms and postmortem findings rather than controlled experiments.,no,"This appears to be a theoretical paper proposing a ""D-cell hypothesis"" rather than an original experimental study using animal models. It includes observational findings from postmortem studies but is not the type of experimental research specified in the criteria.",Exclude,"The abstract presents a theoretical hypothesis about TAAR1 and dopamine neurons in schizophrenia, based on postmortem brain observations, but lacks the critical elements of an experimental animal study. Specifically, it does not include in vivo controlled experiments, animal models of psychosis, experimental interventions with TAAR1 agonists, control groups, or the specified behavioral and neurobiological outcomes required by the screening criteria. Consequently, the paper does not meet the fundamental requirements for inclusion in this systematic review.",0.1
Potential Roles for the GluN2D NMDA Receptor Subunit in Schizophrenia,"C. Vinnakota, Matthew R. Hudson, N. Jones, S. Sundram, R. Hill",10.3390/ijms241411835,https://doi.org/10.3390/ijms241411835,International Journal of Molecular Sciences,2,2023,no,"The abstract discusses research involving experimental work with GluN2D-knockout mice and NMDAR antagonist effects, suggesting it may involve in vivo controlled experiments. However, the paper appears to be primarily a review/perspective piece summarizing various lines of evidence rather than presenting a specific controlled experiment.",maybe,"The abstract mentions animal models and NMDAR antagonist-induced psychosis-like features, which is a valid model. However, it discusses these in a general way rather than reporting on a specific experiment. The mention of GluN2D-knockout mice is in reference to previous findings rather than presenting new experimental data.",no,"The abstract does not investigate TAAR1 agonists at all. The focus is entirely on NMDAR antagonists and GluN2D subunits, which falls outside the intervention criteria.",no,"The abstract mentions behavioral and molecular phenotypes broadly but doesn't specifically measure the required co-primary outcomes (locomotor activity and PPI). While some of the discussed effects might relate to secondary outcomes, this isn't clearly specified.",no,"While there's mention of comparing GluN2D-knockout mice responses, the abstract doesn't describe specific control conditions that match the criteria's requirements.",no,"This appears to be a review or perspective piece synthesizing various lines of evidence rather than an original experimental study, as evident from phrases like ""Mounting evidence implicates..."" and the broad overview nature of the content.",Exclude,"The abstract presents a review-style overview of NMDAR and GluN2D subunit research in schizophrenia, lacking the specific experimental design, TAAR1 agonist interventions, and primary outcome measurements required by the screening criteria. Despite discussing animal models and molecular mechanisms, the paper does not constitute an original experimental study with the precise methodological characteristics sought in the systematic review. Consequently, the abstract does not meet the established screening requirements and would be excluded from further analysis.",0.1
"PM364. Early risperidone exposure affects serotonin, dopamine and cannabinoid receptors binding density differently in male and female juvenile rats","Jiamei Lian, Chao Deng",10.1093/ijnp/pyw041.364,https://doi.org/10.1093/ijnp/pyw041.364,International Journal of Neuropsychopharmacology,0,2016,maybe,"The abstract appears to describe multiple in vivo controlled experiments, including studies with Gunn rats vs Wistar rats and studies examining risperidone effects. However, the abstract seems to combine multiple different studies which makes it somewhat unclear which specific experiment is being evaluated.",maybe,"The abstract mentions using ketamine (an NMDA antagonist) to induce psychosis-like features in rats, which meets this criterion. The Gunn rat model and risperidone studies are also described using laboratory animals.",no,"The abstract does NOT describe testing any TAAR1 agonists. Instead, it focuses on risperidone (an antipsychotic) and examines receptor binding. This is a critical failure to meet this inclusion criterion.",maybe,"The abstract mentions some relevant primary outcomes:
            - Locomotor activity (after ketamine)
            - PPI (prepulse inhibition) measurements
            It also includes secondary neurobiological measures (receptor binding). However, these outcomes are being measured in studies that don't test TAAR1 agonists.",maybe,"The studies described do use appropriate control conditions (vehicle controls for risperidone, Wistar rats as controls for Gunn rats), but since the experimental intervention criterion isn't met, this becomes moot.",yes,"Yes, these appear to be original experimental studies using animal models.",Exclude,"The study involves animal models of psychosis using rats and experimental interventions, but critically fails to meet the systematic review's requirement of investigating TAAR1 agonists. While the research includes appropriate in vivo controlled experiments with relevant behavioral and neurobiological outcomes, the lack of TAAR1 agonist testing disqualifies it from inclusion in the review. The experimental design and measurements do not align with the specific research question focused on TAAR1 agonists.",1.4
"Translational Development Strategies for TAK-063, a Phosphodiesterase 10A Inhibitor","T. Macek, Kazunori Suzuki, K. Asin, H. Kimura",10.1093/ijnp/pyaa042,https://doi.org/10.1093/ijnp/pyaa042,International Journal of Neuropsychopharmacology,2,2020,no,"The abstract mentions both animal models and human studies, with controlled experiments using ketamine challenges. However, it's primarily focused on Phase 1 clinical trials in humans. While animal studies are mentioned, they appear to be secondary to the human trials.",maybe,"While the abstract mentions ""animal models"" and ""ketamine-induced changes,"" it doesn't specifically detail the psychosis model induction methods in animals. Ketamine is an NMDA antagonist that can induce psychosis-like features, but the focus seems to be on its use in humans rather than animals.",no,"The study investigates TAK-063, a PDE10A inhibitor, not a TAAR1 agonist. This clearly fails to meet the intervention criterion as the mechanism of action is completely different from what's required in the screening criteria.",no,"The abstract mentions some relevant outcomes like EEG changes and cognitive effects, but doesn't specifically discuss the co-primary outcomes required (locomotor activity and PPI of acoustic startle reflex). The outcomes measured appear to be focused on different parameters.",maybe,"While the study appears to have control conditions, the abstract doesn't provide enough detail about the specific control groups in the animal studies. However, this is moot given the intervention doesn't meet criteria.",maybe,"While this is original research, it's primarily a clinical Phase 1 program with some supporting animal studies, rather than primarily an animal model study.",Exclude,"The study investigates TAK-063, a PDE10A inhibitor, which fundamentally differs from the required TAAR1 agonists specified in the screening criteria. While the research includes both animal and human studies, it fails to meet critical screening requirements, particularly the specific pharmacological intervention mechanism. The primary focus on a Phase 1 clinical trial with peripheral animal model support further disqualifies the study from meeting the established screening criteria.",0.1
Dual 5-HT3 and 5-HT6 Receptor Antagonist FPPQ Normalizes Phencyclidine-Induced Disruption of Brain Oscillatory Activity in Rats,"A. Castañé, Montserrat Cano, L. Ruíz-Ávila, L. Miquel-Rio, P. Celada, F. Artigas, M. Riga",10.1093/ijnp/pyac003,https://doi.org/10.1093/ijnp/pyac003,International Journal of Neuropsychopharmacology,4,2022,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for in vivo controlled experiments.",yes,"The study uses phencyclidine-induced psychosis model in rats, which is a valid animal model of psychosis and meets the criterion for animal models of psychosis.",no,"The study investigates FPPQ, a dual serotonin 5-HT3-R/5-HT6-R antagonist, not a TAAR1 agonist, which is a critical mismatch with the inclusion criteria that specifically requires TAAR1 agonists.",maybe,"The study includes one of the co-primary outcomes (locomotor activity/hyperlocomotion), but it's not clear if prepulse inhibition (PPI) was measured. The study also includes other relevant behavioral and neurobiological measures.",yes,"The study includes appropriate control conditions, comparing FPPQ treatment to vehicle controls and examining effects in phencyclidine-induced psychosis models, which meets the criterion for control interventions.",yes,"This is clearly an original experimental study using animal models, which meets the criterion for primary research type.",Exclude,"The study involves an in vivo controlled experiment using a phencyclidine-induced psychosis model in rats, with appropriate control interventions and relevant behavioral outcomes. However, the critical disqualifying factor is the experimental intervention, which uses a serotonin receptor antagonist (FPPQ) instead of the required TAAR1 agonist, rendering the study non-compliant with the screening criteria. Despite meeting most other requirements, the intervention type fundamentally excludes this paper from further consideration.",1.4
Identification and Characterization of ML321: a Novel and Highly Selective D2 Dopamine Receptor Antagonist with Efficacy in Animal Models that Predict Atypical Antipsychotic Activity,"R. Free, A. Nilson, Noelia Boldizsar, T. Doyle, R. Rodriguiz, V. Pogorelov, Mayako Machino, Kuo-Hao Lee, Jeremiah W. Bertz, Jinbin Xu, H. Lim, Andrés E Dulcey, R. Mach, J. Woods, J. R. Lane, Lei Shi, J. Marugan, W. Wetsel, David R. Sibley",10.1101/2022.11.14.516475,https://doi.org/10.1101/2022.11.14.516475,bioRxiv,1,2022,yes,"The study includes in vivo controlled experiments, with clear experimental groups and controls. This is evidenced by the behavioral studies in rats and non-human primates with controlled conditions.",yes,"The study uses animal models of psychosis, specifically mentioning amphetamine- and phencyclidine-induced models, which are valid methods of inducing psychosis-like features.",no,"The study investigates ML321, which is a D2R antagonist, not a TAAR1 agonist. This is a critical mismatch with the inclusion criteria, which specifically requires TAAR1 agonists. The mechanism of action is clearly different from what's required.",yes,The study includes both primary outcomes specified in the criteria: locomotor activity and PPI of acoustic startle reflex. It also includes other behavioral measures and adverse effects.,yes,"The study appears to use appropriate control conditions, including vehicle controls and comparison with standard antipsychotic effects.",yes,This is clearly an original experimental study using animal models.,Exclude,"The study demonstrates strong experimental design with controlled animal models of psychosis, appropriate control interventions, and relevant behavioral outcomes. However, the critical intervention of ML321 as a D2R antagonist fundamentally conflicts with the requirement for TAAR1 agonists, rendering the study non-compliant with the primary screening criteria. Despite meeting most other methodological requirements, this core intervention mismatch disqualifies the paper from inclusion.",1.4
Positive allosteric modulation of metabotropic glutamate receptor 5 modulates Akt and GSK3β signaling in vivo,"Kari A. Johnson, P. Jeffrey Conn",10.1101/718700,https://doi.org/10.1101/718700,bioRxiv,2,2019,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for study design.",yes,"The study uses amphetamine-treated rats, which is a valid method of inducing psychosis-like features, meeting the criterion for animal models of psychosis.",no,"The study investigates mGlu5 PAMs (positive allosteric modulators), not TAAR1 agonists, which is a critical mismatch with the inclusion criteria.",no,"The study does not measure the required co-primary outcomes (locomotor activity and PPI). While it does measure behavioral effects (AHL - amphetamine-induced hyperlocomotion), this is not explicitly one of the required primary outcomes. The study focuses more on molecular signaling pathways (Akt/GSK3β).",yes,"The study appears to use appropriate control conditions, including vehicle controls and comparisons with naive rats.",yes,This is an original experimental study using animal models.,Exclude,"The study investigates mGlu5 PAMs in amphetamine-treated rats, which does not align with the required TAAR1 agonist intervention. While the research demonstrates a controlled experimental design with appropriate animal models, it fails to meet critical screening criteria related to intervention type and primary outcome measurements. Consequently, the paper would be excluded from the systematic review.",1.4
Prevention of Neurite Spine Loss Induced by Dopamine D2 Receptor Overactivation in Striatal Neurons,"Peng Zheng, Q. Su, D. Jin, Yinghua Yu, Xu-Feng Huang",10.3389/fnins.2020.00642,https://doi.org/10.3389/fnins.2020.00642,Frontiers in Neuroscience,5,2020,no,"The study appears to be an in vitro study using cultured striatal neurons, which fails the criterion that requires in vivo controlled experiments irrespective of design characteristics, language, publication year, and country.",no,"The study uses animal tissue (mouse striatal neurons), but does not describe using an animal model of psychosis. The neurons are treated with a D2R agonist, but this is not described as inducing psychosis-like features in a whole animal model.",no,"The study examines TAT-D2pep, which appears to be a cell-penetrating peptide that disrupts D2R-DISC1 complexes, but this is not described as a TAAR1 agonist as required by the criteria.",no,"The study measures neurite growth, dendritic spines, and molecular interactions, but does not measure the required co-primary outcomes of locomotor activity and prepulse inhibition (PPI) of acoustic startle reflex.",no,"The abstract mentions comparing treated and untreated conditions, but not in the context of animal models of psychosis as required by the criteria.",no,"While this is original experimental research, it is conducted in vitro rather than using whole animal models as required.",Exclude,"The study is an in vitro investigation using cultured striatal neurons, which fundamentally disqualifies it from meeting the screening criteria requiring in vivo animal models of psychosis. Critical exclusion criteria are triggered by the study's methodology, including the lack of whole animal psychosis models, absence of TAAR1 agonist testing, and failure to measure specified primary outcomes like locomotor activity and prepulse inhibition.",0.1
Anandamide Hydrolysis Inhibition Reverses the Long-Term Behavioral and Gene Expression Alterations Induced by MK-801 in Male Rats: Differential CB1 and CB2 Receptor-Mediated Effects.,"H. Bauminger, Hiba Zaidan, I. Akirav, I. Gaisler-Salomon",10.1093/schbul/sbab153,https://doi.org/10.1093/schbul/sbab153,Schizophrenia bulletin,4,2022,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for study design.",yes,"The study uses an animal model of psychosis, specifically using NMDA receptor blockade (MK-801) to induce schizophrenia-like behavioral abnormalities, which meets the criterion for animal population and model induction.",no,"The study investigates URB597 (an anandamide hydrolysis inhibitor) and its effects on CB1 and CB2 receptors, not TAAR1 agonists, which does not meet the criterion for experimental interventions.",maybe,"While the study examines behavioral measures (social interaction and cognitive function), it doesn't specifically measure the co-primary outcomes required (locomotor activity and PPI). The outcomes studied are related to psychosis but don't exactly match the required measures, resulting in a partial match.",yes,"The study appears to use appropriate control conditions, comparing treatment groups with vehicle controls and examining the effects of the intervention on induced behavioral abnormalities, which meets the criterion for control interventions.",yes,"This is clearly an original experimental study using animal models, which meets the criterion for primary research type.",Exclude,"The study uses an animal model of psychosis with NMDA receptor blockade, but critically fails to meet the screening criteria by investigating URB597 instead of TAAR1 agonists. While the research demonstrates controlled experimental design and relevant behavioral outcomes, the fundamental mismatch in intervention type disqualifies the study from inclusion. The experimental approach, though scientifically rigorous, does not align with the specific screening requirements.",1.4
PM478. Imaging the effects of d-amphetamine in the human brain for modelling dopaminergic alterations in schizophrenia,"M. Willeit, A. Popovic, M. Bauer, L. Bartova, U. Sauerzopf, L. Nics, M. Mitterhauser, W. Wadsak, N. Praschak-Rieder, S. Kasper",10.1093/ijnp/pyw041.478,https://doi.org/10.1093/ijnp/pyw041.478,International Journal of Neuropsychopharmacology,1,2016,no,"The study described in the abstract involves human studies using PET scans and clinical observations, not controlled animal experiments. While there are experimental elements, these are conducted in humans, not animals.",no,The study population consists entirely of human subjects (patients with schizophrenia and healthy controls). There are no animal models of psychosis mentioned.,no,The interventions described involve d-amphetamine administration and PET scanning using [11C]-(+)-PHNO. There is no mention of TAAR1 agonists as experimental interventions.,no,"The outcomes measured (dopamine release, behavioral responses, binding potential values) are different from the required primary outcomes of locomotor activity and prepulse inhibition in animal models. The secondary outcomes also don't align with the criteria.",no,"While the study does include control groups (healthy subjects), these are human controls rather than the required animal control groups specified in the criteria.",no,"While this is original research, it is not an animal study but rather a human clinical study using PET imaging.",Exclude,"The study involves human subjects using PET imaging and d-amphetamine, which fundamentally differs from the required animal model research with specific psychosis induction and TAAR1 agonist interventions. None of the screening criteria are met, as the research design, population, interventions, control groups, and outcomes do not align with the specified requirements for animal studies of psychosis.",0.1
Intra-Nasally Administered Oligopeptide Lunasin Acts as a Possible Anti-Psychotic Agent in Mice Models,"Z. Dzirkale, I. Nakurte, K. Jekabsons, R. Muceniece, V. Kluša",10.3390/medicina55070393,https://doi.org/10.3390/medicina55070393,Medicina,2,2019,yes,"The study includes in vivo controlled experiments in mice, which meets the requirement for this criterion.",yes,"The study uses animal models of psychosis through multiple induction methods, including amphetamine-induced psychosis, DOI (serotonin agonist)-induced effects, and phencyclidine (NMDA antagonist)-induced effects, which are all valid methods of inducing psychosis-like features.",no,"The study investigates lunasin, which is not described as a TAAR1 agonist. The abstract suggests its primary mechanism may be through dopaminergic, serotonergic, and glutamatergic systems, but does not mention TAAR1 activity. This does not meet the requirement for the study to investigate compounds/medications acting as TAAR1 agonists.",maybe,"The study measures locomotor activity, which is one of the two required co-primary outcomes, but does not mention prepulse inhibition (PPI). The study includes secondary outcomes such as behavioral assays and neurobiological measures (monoamine levels).",yes,"The study appears to use appropriate vehicle controls, as evidenced by the comparison of behavioral effects and brain monoamine levels between treated and control groups.",yes,This is clearly an original experimental study using animal models.,Exclude,"The study involves in vivo experiments with mice using multiple psychosis induction methods and measuring behavioral and neurobiological outcomes. While demonstrating appropriate experimental design and control interventions, the research fails to meet the critical criterion of investigating TAAR1 agonists, which disqualifies it from the screening requirements. The investigation of lunasin's neurological effects, though scientifically interesting, does not align with the specific intervention criteria.",1.4
Neuronal signature of an antipsychotic response,"Jeffrey Parrilla-Carrero, A. Kruyer, R. Chalhoub, Courtney Powell, Shanna Resendez, D. Amato",10.21203/rs.3.rs-72975/v1,https://doi.org/10.21203/rs.3.rs-72975/v1,-,4,2020,no,"Without the actual abstract content, Elicit was unable to evaluate whether the study included in vivo controlled experiments.",no,"Without the actual abstract content, Elicit was unable to determine if the research was conducted using animal models of psychosis.",no,"Without the actual abstract content, Elicit was unable to assess whether the study investigated compounds/medications acting as TAAR1 agonists.",no,"Without the actual abstract content, Elicit was unable to determine if the study included the specified co-primary and secondary outcomes.",no,"Without the actual abstract content, Elicit was unable to evaluate the control groups used in the study.",no,"Without the actual abstract content, Elicit was unable to assess whether this was an original experimental study using animal models.",Exclude,"No substantive scientific content is present to assess the screening criteria, as only a numerical placeholder exists instead of an actual research abstract. Without the full text describing study design, methodology, interventions, and outcomes, it is impossible to determine compliance with any of the specified inclusion requirements. Consequently, the document cannot be evaluated for potential inclusion in the systematic review.",0.1
MDMA and TAAR1‐mediated RhoA Activation in Serotonin Neurons,"S. Underhill, S. Amara",10.1096/fasebj.2020.34.s1.05856,https://doi.org/10.1096/fasebj.2020.34.s1.05856,The FASEB Journal,2,2020,no,"The abstract appears to be describing biochemical mechanisms and pathways rather than in vivo controlled experiments. The focus is on cellular mechanisms (""biochemical cascade"", ""internalization"", ""signaling pathways""), suggesting this is likely an in vitro study.",no,"The abstract does not mention any animal models of psychosis or methods of psychosis induction. While it discusses mechanisms related to psychostimulants (amphetamine, MDMA), it appears to be studying basic mechanisms rather than induced psychosis models.",no,"While TAAR1 is discussed, the study appears to be investigating its natural signaling mechanisms rather than testing TAAR1 agonists as therapeutic interventions. The focus is on understanding how amphetamine and MDMA interact with TAAR1, not on testing TAAR1 agonists as treatments.",no,"None of the primary outcomes (locomotor activity, PPI) or secondary outcomes are mentioned in the abstract. The study appears to focus on cellular and molecular mechanisms rather than behavioral or functional outcomes.",no,The abstract does not mention any control groups or comparisons that would match the required control interventions.,maybe,"While this appears to be original research, it seems to be a basic science/mechanistic study rather than an experimental study using animal models of psychosis.",Exclude,"The abstract describes biochemical mechanisms of psychostimulant interactions with cellular transporters and receptors, focusing on molecular pathways rather than experimental animal models of psychosis. Critically, the text lacks evidence of in vivo controlled experiments, animal psychosis models, specific interventions, control groups, or behavioral outcomes required by the screening criteria. The study appears to be a basic science investigation of cellular signaling mechanisms, fundamentally misaligned with the systematic review's specified research parameters.",0.1
Validation of a High-Throughput Calcium Mobilization Assay for the Human Trace Amine-Associated Receptor 1,"A. Decker, Kelly M. Mathews, B. Blough, B. Gilmour",10.1177/2472555220945279,https://doi.org/10.1177/2472555220945279,SLAS discovery : advancing life sciences R & D,4,2020,no,"The study is an in vitro high-throughput screening assay using CHO cells, which explicitly fails the criterion that requires in vivo controlled experiments and excludes in vitro studies.",no,"The study does not use animal models of psychosis - it uses cell cultures (CHO cells), which fails the criterion that requires animal models with induced psychosis-like features.",no,"While the study is related to TAAR1 and identifies potential antagonists, it's a screening study that doesn't test TAAR1 agonists in the way specified by the criterion. The study actually focuses on identifying antagonists, which are explicitly excluded by the criteria.",no,"The study doesn't measure any of the required primary outcomes (locomotor activity or PPI) or secondary outcomes. It measures calcium mobilization in cell cultures, which is not among the specified outcomes.",no,The study doesn't include the types of control groups specified in the criterion (no animal cohorts or psychosis models are used).,no,"While this is original research, it's not an experimental study using animal models as required. It's a cell-based screening study.",Exclude,"The study is an in vitro high-throughput screening assay using cell cultures, which fundamentally fails the systematic review's requirements for in vivo animal models of psychosis. Specifically, the research does not involve animal models, does not test TAAR1 agonists as interventions, lacks the specified behavioral outcomes, and uses a screening methodology that does not align with the predefined screening criteria.",0.1
Trace Amines are Essential Metabolites for the Autocrine Regulation of β-Cell Signaling and Insulin Secretion,"Sebastian Hauke, Kaya Keutler, Aurélien Laguerre, Mireia A. Carbo, Jona Rada, David Grandy, D. Yushchenko, Carsten Schultz",10.1101/2024.03.21.585773,https://doi.org/10.1101/2024.03.21.585773,bioRxiv,1,2024,no,"The study described in the abstract focuses on in vitro experiments studying insulin secretion and calcium oscillations in β-cells, rather than in vivo controlled experiments as required by the criterion.",no,The study focuses on β-cells in isolation and does not involve animal models of psychosis. There is no mention of any psychosis-like features induction or behavioral models.,maybe,"While the study does investigate TAAR1 agonists, it is not in the context of psychosis treatment. The focus is on insulin secretion and β-cell function, rather than testing the agonists for antipsychotic effects.",no,"The study measures outcomes related to insulin secretion and calcium oscillations, which are completely different from the required primary outcomes of increased locomotor activity and impairment of prepulse inhibition, as well as the specified secondary outcomes.",no,"The abstract mentions some control conditions using antagonists and enzyme inhibitors, but these are not the specific types of controls required by the criteria (no psychosis model controls or vehicle controls as specified).",no,"While this is original experimental research, it is using isolated cells rather than animal models as required by the criterion.",Exclude,"The study focuses on cellular mechanisms of insulin secretion using in vitro β-cell experiments, which fundamentally diverges from the systematic review's requirements for animal models of psychosis. None of the key screening criteria are met, including study design, animal population, experimental interventions, control conditions, or specified outcomes related to psychosis research.",0.1
"Herniarin, Dimethylfraxetin and Extracts from Tagetes lucida, in Psychosis Secondary to Ketamine and Its Interaction with Haloperidol","Sandra Liliana Porras-Dávila, Enrique Jiménez-Ferrer, R. Román Ramos, M. González-Cortázar, J. Almanza-Pérez, M. Herrera‐Ruiz",10.3390/plants11202789,https://doi.org/10.3390/plants11202789,Plants,3,2022,yes,"The study includes in vivo controlled experiments using ICR mice, which meets the requirement for in vivo controlled experiments.",yes,"The study uses ketamine-induced psychosis-like behaviors in mice, which is a valid animal model of psychosis. The abstract mentions ""schizophrenia-like symptoms"" and specific behavioral tests.",no,"The study investigates extracts from Tagetes lucida and isolated coumarins (herniarin and dimethylfraxetin), which are not TAAR1 agonists. The interventions appear to be plant-derived compounds rather than TAAR1-specific agents.",maybe,"The study includes relevant behavioral measures including locomotor activity (hyperlocomotion) and other behavioral assays (open field, forced swimming, passive avoidance, social interaction). However, it doesn't specifically mention prepulse inhibition (PPI).",yes,"The study includes appropriate control conditions, using vehicle controls and comparing effects against ketamine-induced psychosis.",yes,This is an original experimental study using animal models.,Exclude,"The study employs a robust experimental design using ketamine-induced psychosis in mice, with comprehensive behavioral assessments and appropriate control conditions. However, the research focuses on plant-derived compounds rather than TAAR1 agonists, which critically disqualifies it from meeting the specific intervention requirements of the screening criteria. Despite methodological strengths, the fundamental mismatch in intervention type prevents study inclusion.",1.4
